year_month,age_group,sex,card_tpbuz_nm_2,amt,cnt
202208,30대,F,양식,2263581712,65163
202208,30대,F,일식/수산물,4946836830,107330
202208,30대,F,중식,2006813958,80295
202208,30대,F,패스트푸드,4042113680,340755
202208,30대,F,한식,19884312240,666901
202208,30대,M,간이주점,8045229657,169064
202208,30대,M,고기요리,21222665336,452499
202208,30대,M,디저트/음료,16712075719,1790405
202208,30대,M,별식/퓨전요리,3348353975,152704
202208,30대,M,분식,5150498535,372843
202208,30대,M,양식,3199302395,93412
202208,30대,M,일식/수산물,8964065843,163666
202208,30대,M,중식,4164401603,161139
202208,30대,M,패스트푸드,5773151829,503906
202208,30대,M,한식,33766048580,1028462
202208,40대,F,간이주점,3490632109,89246
202208,40대,F,고기요리,16600546153,406255
202208,40대,F,디저트/음료,20829616195,2020415
202208,40대,F,별식/퓨전요리,2841556247,126761
202208,40대,F,분식,6710626424,508852
202208,40대,F,양식,3014420466,92121
202208,40대,F,일식/수산물,7706630560,170983
202208,40대,F,중식,3231901359,141289
202208,40대,F,패스트푸드,5544553137,476466
202208,40대,F,한식,28957028523,949047
202208,40대,M,간이주점,8063852713,168266
202208,40대,M,고기요리,29207184338,626402
202208,40대,M,디저트/음료,20777479767,1961967
202208,40대,M,별식/퓨전요리,4628339731,202801
202208,40대,M,분식,7901368243,552378
202208,40대,M,양식,3876772260,104271
202208,40대,M,일식/수산물,13723204991,244919
202208,40대,M,중식,5918060921,239510
202208,40대,M,패스트푸드,6345349912,529070
202208,40대,M,한식,47607854265,1354166
202208,50대,F,간이주점,2318766083,63548
202208,50대,F,고기요리,15517800963,384153
202208,50대,F,디저트/음료,15602629468,1368889
202208,50대,F,별식/퓨전요리,2542618797,115479
202208,50대,F,분식,5308852497,393171
202208,50대,F,양식,1813224958,59805
202208,50대,F,일식/수산물,8749745109,196739
202208,50대,F,중식,2481455424,106100
202208,50대,F,패스트푸드,3570711258,296267
202208,50대,F,한식,29257794593,939928
202208,50대,M,간이주점,5643279386,124884
202208,50대,M,고기요리,26055409890,584917
202208,50대,M,디저트/음료,15048923043,1287033
202208,50대,M,별식/퓨전요리,4170229544,194098
202208,50대,M,분식,6541363677,455845
202208,50대,M,양식,2279195716,67701
202208,50대,M,일식/수산물,14170008567,266943
202208,50대,M,중식,4722062882,203606
202208,50대,M,패스트푸드,4084746458,332121
202208,50대,M,한식,45982226030,1344695
202208,60대 이상,F,간이주점,826843463,24844
202208,60대 이상,F,고기요리,9422636554,239724
202208,60대 이상,F,디저트/음료,8583078857,697943
202208,60대 이상,F,별식/퓨전요리,1492308819,72051
202208,60대 이상,F,분식,2881438083,202710
202208,60대 이상,F,양식,825351853,25144
